,date,province,total,admitted,deaths
303,2020-04-07,Gelderland,2301,829,242
304,2020-04-07,Groningen,210,54,6
305,2020-04-07,Limburg,2100,1102,334
306,2020-04-07,Noord-Brabant,4611,1849,742
307,2020-04-07,Noord-Holland,3011,1068,228
308,2020-04-07,Overijssel,1271,388,127
309,2020-04-07,Utrecht,1530,526,135
310,2020-04-07,Zeeland,313,113,28
311,2020-04-07,Zuid-Holland,3511,1172,210
312,2020-04-08,Drenthe,235,72,13
313,2020-04-08,Flevoland,290,165,17
314,2020-04-08,Friesland,263,97,21
315,2020-04-08,Gelderland,2392,870,260
316,2020-04-08,Groningen,223,57,6
317,2020-04-08,Limburg,2181,1145,355
318,2020-04-08,Noord-Brabant,4795,1908,782
319,2020-04-08,Noord-Holland,3141,1097,259
320,2020-04-08,Overijssel,1338,417,131
321,2020-04-08,Utrecht,1604,554,144
322,2020-04-08,Zeeland,332,114,34
323,2020-04-08,Zuid-Holland,3755,1238,226
324,2020-04-09,Drenthe,253,76,13
325,2020-04-09,Flevoland,303,171,21
326,2020-04-09,Friesland,300,98,22
327,2020-04-09,Gelderland,2530,903,279
328,2020-04-09,Groningen,231,57,6
329,2020-04-09,Limburg,2305,1189,374
330,2020-04-09,Noord-Brabant,5009,1946,825
331,2020-04-09,Noord-Holland,3318,1129,282
332,2020-04-09,Overijssel,1416,427,133
333,2020-04-09,Utrecht,1663,569,155
334,2020-04-09,Zeeland,362,117,34
335,2020-04-09,Zuid-Holland,4072,1289,252
336,2020-04-10,Drenthe,277,78,13
337,2020-04-10,Flevoland,331,183,21
338,2020-04-10,Friesland,332,102,23
339,2020-04-10,Gelderland,2692,923,293
340,2020-04-10,Groningen,243,59,6
341,2020-04-10,Limburg,2408,1215,388
342,2020-04-10,Noord-Brabant,5261,1997,850
343,2020-04-10,Noord-Holland,3550,1149,293
344,2020-04-10,Overijssel,1607,435,142
345,2020-04-10,Utrecht,1726,580,164
346,2020-04-10,Zeeland,388,121,34
347,2020-04-10,Zuid-Holland,4282,1354,284
348,2020-04-11,Drenthe,298,79,14
349,2020-04-11,Flevoland,369,189,22
350,2020-04-11,Friesland,347,104,23
351,2020-04-11,Gelderland,2847,952,302
352,2020-04-11,Groningen,257,63,7
353,2020-04-11,Limburg,2533,1239,401
354,2020-04-11,Noord-Brabant,5465,2041,883
355,2020-04-11,Noord-Holland,3707,1171,320
356,2020-04-11,Overijssel,1703,439,150
357,2020-04-11,Utrecht,1779,599,173
358,2020-04-11,Zeeland,415,124,36
359,2020-04-11,Zuid-Holland,4693,1386,312
360,2020-04-12,Drenthe,313,79,14
361,2020-04-12,Flevoland,385,189,22
362,2020-04-12,Friesland,365,105,24
363,2020-04-12,Gelderland,3015,993,313
364,2020-04-12,Groningen,267,65,8
365,2020-04-12,Limburg,2650,1266,421
366,2020-04-12,Noord-Brabant,5718,2090,902
367,2020-04-12,Noord-Holland,3891,1183,335
368,2020-04-12,Overijssel,1776,453,155
369,2020-04-12,Utrecht,1860,609,181
370,2020-04-12,Zeeland,430,125,38
371,2020-04-12,Zuid-Holland,4917,1425,324
372,2020-04-13,Drenthe,322,79,14
373,2020-04-13,Flevoland,419,195,23
374,2020-04-13,Friesland,378,107,28
375,2020-04-13,Gelderland,3225,1009,318
376,2020-04-13,Groningen,275,66,8
377,2020-04-13,Limburg,2694,1270,428
378,2020-04-13,Noord-Brabant,5856,2142,921
379,2020-04-13,Noord-Holland,3987,1204,350
380,2020-04-13,Overijssel,1832,458,160
381,2020-04-13,Utrecht,1930,618,190
382,2020-04-13,Zeeland,456,125,39
383,2020-04-13,Zuid-Holland,5177,1456,344
384,2020-04-14,Drenthe,328,79,14
385,2020-04-14,Flevoland,427,196,24
386,2020-04-14,Friesland,386,110,29
387,2020-04-14,Gelderland,3341,1035,334
388,2020-04-14,Groningen,276,66,8
389,2020-04-14,Limburg,2880,1300,452
390,2020-04-14,Noord-Brabant,6029,2173,944
391,2020-04-14,Noord-Holland,4087,1255,365
392,2020-04-14,Overijssel,1889,472,164
393,2020-04-14,Utrecht,1984,631,207
394,2020-04-14,Zeeland,474,127,40
395,2020-04-14,Zuid-Holland,5318,1495,364
396,2020-04-15,Drenthe,335,81,19
397,2020-04-15,Flevoland,440,202,25
398,2020-04-15,Friesland,396,112,30
399,2020-04-15,Gelderland,3457,1051,358
400,2020-04-15,Groningen,281,66,8
401,2020-04-15,Limburg,2922,1313,467
402,2020-04-15,Noord-Brabant,6144,2201,985
403,2020-04-15,Noord-Holland,4194,1287,402
404,2020-04-15,Overijssel,1941,482,173
405,2020-04-15,Utrecht,2051,666,223
406,2020-04-15,Zeeland,479,127,43
407,2020-04-15,Zuid-Holland,5513,1539,401
408,2020-04-16,Drenthe,346,89,20
409,2020-04-16,Flevoland,461,209,26
410,2020-04-16,Friesland,426,113,35
411,2020-04-16,Gelderland,3579,1073,375
412,2020-04-16,Groningen,286,66,8
413,2020-04-16,Limburg,3020,1333,480
414,2020-04-16,Noord-Brabant,6352,2222,1043
415,2020-04-16,Noord-Holland,4327,1327,420
416,2020-04-16,Overijssel,2032,487,180
417,2020-04-16,Utrecht,2117,690,231
418,2020-04-16,Zeeland,481,128,45
419,2020-04-16,Zuid-Holland,5787,1572,452
420,2020-04-17,Drenthe,359,91,21
421,2020-04-17,Flevoland,510,211,26
422,2020-04-17,Friesland,448,114,36
423,2020-04-17,Gelderland,3742,1100,395
424,2020-04-17,Groningen,292,66,9
425,2020-04-17,Limburg,3156,1346,493
426,2020-04-17,Noord-Brabant,6527,2249,1074
427,2020-04-17,Noord-Holland,4533,1358,438
428,2020-04-17,Overijssel,2149,490,186
429,2020-04-17,Utrecht,2185,703,240
430,2020-04-17,Zeeland,501,134,46
431,2020-04-17,Zuid-Holland,6047,1603,495
432,2020-04-18,Drenthe,377,91,23
433,2020-04-18,Flevoland,556,213,26
434,2020-04-18,Friesland,458,115,38
435,2020-04-18,Gelderland,3902,1116,414
