,date,province,total,admitted,deaths
374,2020-03-30,Fryslân,5,5,2
375,2020-03-30,Gelderland,103,57,17
376,2020-03-30,Groningen,5,4,0
377,2020-03-30,Limburg,115,53,19
378,2020-03-30,Noord-Brabant,214,209,28
379,2020-03-30,Noord-Holland,145,50,12
380,2020-03-30,Overijssel,56,19,2
381,2020-03-30,Utrecht,65,31,1
382,2020-03-30,Zeeland,14,6,2
383,2020-03-30,Zuid-Holland,141,52,7
384,2020-03-31,Drenthe,9,8,1
385,2020-03-31,Flevoland,18,12,1
386,2020-03-31,Fryslân,7,4,5
387,2020-03-31,Gelderland,97,43,22
388,2020-03-31,Groningen,11,3,1
389,2020-03-31,Limburg,116,30,13
390,2020-03-31,Noord-Brabant,184,225,77
391,2020-03-31,Noord-Holland,139,131,23
392,2020-03-31,Overijssel,42,80,11
393,2020-03-31,Utrecht,63,101,9
394,2020-03-31,Zeeland,13,4,2
395,2020-03-31,Zuid-Holland,135,86,7
396,2020-04-01,Drenthe,20,5,1
397,2020-04-01,Flevoland,23,8,1
398,2020-04-01,Fryslân,13,8,0
399,2020-04-01,Gelderland,142,73,26
400,2020-04-01,Groningen,8,3,0
401,2020-04-01,Limburg,87,31,15
402,2020-04-01,Noord-Brabant,148,122,34
403,2020-04-01,Noord-Holland,169,56,17
404,2020-04-01,Overijssel,80,26,12
405,2020-04-01,Utrecht,62,21,8
406,2020-04-01,Zeeland,17,10,2
407,2020-04-01,Zuid-Holland,239,78,18
408,2020-04-02,Drenthe,15,1,3
409,2020-04-02,Flevoland,14,18,1
410,2020-04-02,Fryslân,22,6,2
411,2020-04-02,Gelderland,114,41,13
412,2020-04-02,Groningen,6,2,0
413,2020-04-02,Limburg,86,275,39
414,2020-04-02,Noord-Brabant,230,104,46
415,2020-04-02,Noord-Holland,181,41,24
416,2020-04-02,Overijssel,86,32,10
417,2020-04-02,Utrecht,86,36,15
418,2020-04-02,Zeeland,16,4,2
419,2020-04-02,Zuid-Holland,227,67,9
420,2020-04-03,Drenthe,12,5,1
421,2020-04-03,Flevoland,22,10,3
422,2020-04-03,Fryslân,16,7,0
423,2020-04-03,Gelderland,153,42,18
424,2020-04-03,Groningen,5,1,2
425,2020-04-03,Limburg,111,83,8
426,2020-04-03,Noord-Brabant,158,135,49
427,2020-04-03,Noord-Holland,168,79,8
428,2020-04-03,Overijssel,78,12,8
429,2020-04-03,Utrecht,71,47,13
430,2020-04-03,Zeeland,23,4,6
431,2020-04-03,Zuid-Holland,203,71,26
432,2020-04-04,Drenthe,20,7,2
433,2020-04-04,Flevoland,9,10,2
434,2020-04-04,Fryslân,18,4,2
435,2020-04-04,Gelderland,103,32,13
436,2020-04-04,Groningen,7,2,1
437,2020-04-04,Limburg,75,47,19
438,2020-04-04,Noord-Brabant,150,59,58
439,2020-04-04,Noord-Holland,190,75,30
440,2020-04-04,Overijssel,117,21,17
441,2020-04-04,Utrecht,83,25,14
442,2020-04-04,Zeeland,17,5,3
443,2020-04-04,Zuid-Holland,213,69,16
444,2020-04-05,Drenthe,16,0,0
445,2020-04-05,Flevoland,19,8,1
446,2020-04-05,Fryslân,17,4,0
447,2020-04-05,Gelderland,121,28,14
448,2020-04-05,Groningen,13,3,0
449,2020-04-05,Limburg,117,46,23
450,2020-04-05,Noord-Brabant,161,22,26
451,2020-04-05,Noord-Holland,203,26,15
452,2020-04-05,Overijssel,76,11,3
453,2020-04-05,Utrecht,72,36,10
454,2020-04-05,Zeeland,7,0,1
455,2020-04-05,Zuid-Holland,277,41,12
456,2020-04-06,Drenthe,9,4,0
457,2020-04-06,Flevoland,8,2,0
458,2020-04-06,Fryslân,8,3,3
459,2020-04-06,Gelderland,96,36,17
460,2020-04-06,Groningen,4,0,0
461,2020-04-06,Limburg,107,57,13
462,2020-04-06,Noord-Brabant,191,16,13
463,2020-04-06,Noord-Holland,117,26,11
464,2020-04-06,Overijssel,73,13,13
465,2020-04-06,Utrecht,52,37,9
466,2020-04-06,Zeeland,37,5,0
467,2020-04-06,Zuid-Holland,243,64,22
468,2020-04-07,Drenthe,3,9,2
469,2020-04-07,Flevoland,12,4,1
470,2020-04-07,Fryslân,5,1,2
471,2020-04-07,Gelderland,92,31,21
472,2020-04-07,Groningen,7,1,1
473,2020-04-07,Limburg,91,35,48
474,2020-04-07,Noord-Brabant,153,58,69
